年份,月份,地域,感染率,平均气温(℃),平均露点温度(℃),平均风速(mi/h),最低气温极值(℃),最高气温极值(℃),降水天数,降水量(mm),AQI,社会事件
2004,11,安徽省,0.0698,,,,,,,,,
2004,11,江西省,0.1097,,,,,,,,,
2004,11,山东省,0.0087,,,,,,,,,
2004,11,河南省,0.0268,,,,,,,,,
2004,11,湖北省,0.0067,,,,,,,,,
2004,11,湖南省,0.0225,,,,,,,,,
2004,11,广东省,0.0440,,,,,,,,,
2004,11,广西,0.2162,,,,,,,,,
2004,11,重庆市,0.2204,,,,,,,,,
2004,11,四川省,0.6128,,,,,,,,,
2004,11,贵州省,0.6121,,,,,,,,,
2017,12,安徽省,5.0246,5.62,-1.62,5.05,-5.11,16,6,17.02,125.1002688,1
2004,11,陕西省,0.0875,,,,,,,,,
2004,11,甘肃省,0.4591,,,,,,,,,
2004,11,青海省,0.1483,,,,,,,,,
2004,11,宁夏,0.1370,,,,,,,,,
2004,11,新疆,0.0538,,,,,,,,,
2004,12,北京市,0.0068,,,,,,,,,
2004,12,天津市,0.0108,,,,,,,,,
2004,12,河北省,0.5986,,,,,,,,,
2004,12,山西省,0.0422,,,,,,,,,
2004,12,内蒙古,0.4110,,,,,,,,,
2004,12,辽宁省,0.0024,,,,,,,,,
2004,12,黑龙江,0.0080,,,,,,,,,
2004,12,江苏省,0.0568,,,,,,,,,
2004,12,浙江省,0.0191,,,,,,,,,
2004,12,安徽省,0.0357,,,,,,,,,
2004,12,福建省,0.0473,,,,,,,,,
2004,12,江西省,0.0957,,,,,,,,,
2004,12,山东省,0.0033,,,,,,,,,
2004,12,河南省,0.1321,,,,,,,,,
2004,12,湖北省,0.0017,,,,,,,,,
2004,12,湖南省,0.0180,,,,,,,,,
2004,12,广东省,0.0264,,,,,,,,,
2004,12,广西,0.0474,,,,,,,,,
2004,12,海南省,0.0246,,,,,,,,,
2004,12,重庆市,0.2077,,,,,,,,,
2004,12,四川省,0.4923,,,,,,,,,
2004,12,贵州省,0.1962,,,,,,,,,
2004,12,西藏,1.3785,,,,,,,,,
2004,12,陕西省,0.1066,,,,,,,,,
2004,12,甘肃省,0.9564,,,,,,,,,
2004,12,青海省,0.1112,,,,,,,,,
2004,12,宁夏,0.2569,,,,,,,,,
2004,12,新疆,0.0591,,,,,,,,,
2005,1,北京市,0.0130,,,,,,,,,
2005,1,天津市,0.9409,,,,,,,,,
2005,1,河北省,0.5654,,,,,,,,,
2005,1,山西省,0.0150,,,,,,,,,
2005,1,辽宁省,0.0166,,,,,,,,,
2005,1,黑龙江,0.0289,,,,,,,,,
2005,1,上海市,0.0056,,,,,,,,,
2005,1,江苏省,0.5913,,,,,,,,,
2005,1,浙江省,0.0821,,,,,,,,,
2005,1,安徽省,0.0904,,,,,,,,,
2005,1,福建省,0.0256,,,,,,,,,
2005,1,江西省,0.1192,,,,,,,,,
2005,1,山东省,0.0076,,,,,,,,,
2005,1,河南省,0.1940,,,,,,,,,
2005,1,湖北省,0.0263,,,,,,,,,
2005,1,湖南省,0.0318,,,,,,,,,
2005,1,广东省,0.0515,,,,,,,,,
2005,1,广    西,0.1558,,,,,,,,,
2005,1,海南省,0.0366,,,,,,,,,
2005,1,重庆市,0.1828,,,,,,,,,
2005,1,四川省,0.1783,,,,,,,,,
2005,1,贵州省,0.2080,,,,,,,,,
2005,1,云南省,0.0294,,,,,,,,,
2005,1,西    藏,0.5472,,,,,,,,,
2005,1,陕西省,0.1565,,,,,,,,,
2005,1,甘肃省,0.8959,,,,,,,,,
2005,1,青海省,1.4687,,,,,,,,,
2005,1,宁    夏,0.2714,,,,,,,,,
2005,1,新    疆,0.0503,,,,,,,,,
2005,2,天津市,0.0960,,,,,,,,,
2005,2,河北省,0.3759,,,,,,,,,
2005,2,山西省,0.0090,,,,,,,,,
2005,2,内蒙古,0.0084,,,,,,,,,
2005,2,黑龙江,0.0026,,,,,,,,,
2005,2,江苏省,0.0013,,,,,,,,,
2005,2,浙江省,0.1129,,,,,,,,,
2005,2,安徽省,0.0559,,,,,,,,,
2005,2,福建省,0.0114,,,,,,,,,
2005,2,江西省,0.1590,,,,,,,,,
2005,2,山东省,0.0033,,,,,,,,,
2005,2,河南省,0.0965,,,,,,,,,
2005,2,湖北省,0.0773,,,,,,,,,
2005,2,湖南省,0.0111,,,,,,,,,
2005,2,广东省,0.1128,,,,,,,,,
2005,2,广    西,0.1212,,,,,,,,,
2005,2,重庆市,0.0753,,,,,,,,,
2005,2,四川省,0.1148,,,,,,,,,
2005,2,贵州省,0.1323,,,,,,,,,
2005,2,云南省,0.2582,,,,,,,,,
2005,2,西    藏,0.3648,,,,,,,,,
2005,2,陕西省,0.0837,,,,,,,,,
2005,2,甘肃省,0.2598,,,,,,,,,
2005,2,青海省,0.2603,,,,,,,,,
2005,2,宁    夏,0.1527,,,,,,,,,
2005,2,新    疆,0.1660,,,,,,,,,
2005,3,天津市,0.0864,,,,,,,,,
2005,3,河北省,0.4112,,,,,,,,,
2005,3,山西省,0.0090,,,,,,,,,
2005,3,内蒙古,0.0084,,,,,,,,,
2005,3,辽宁省,0.0119,,,,,,,,,
2005,3,黑龙江,0.0026,,,,,,,,,
2005,3,江苏省,0.0040,,,,,,,,,
2005,3,浙江省,0.9788,,,,,,,,,
2005,3,安徽省,0.0756,,,,,,,,,
2005,3,福建省,0.0911,,,,,,,,,
2005,3,江西省,0.6663,,,,,,,,,
2005,3,山东省,0.0011,,,,,,,,,
2005,3,河南省,0.2411,,,,,,,,,
2005,3,湖北省,0.1476,,,,,,,,,
2005,3,湖南省,0.5005,,,,,,,,,
2005,3,广东省,1.0482,,,,,,,,,
2005,3,广    西,0.3310,,,,,,,,,
2005,3,海南省,0.0609,,,,,,,,,
2005,3,重庆市,1.0324,,,,,,,,,
2005,3,四川省,0.3871,,,,,,,,,
2005,3,贵州省,0.7994,,,,,,,,,
2005,3,云南省,0.2175,,,,,,,,,
2009,8,北京市,5.7404,24.78,19.67,4.02,13,36.39,10,74.68,76.12903226,1
2005,3,陕西省,0.0783,,,,,,,,,
2005,3,甘肃省,0.4770,,,,,,,,,
2005,3,青海省,0.3346,,,,,,,,,
2005,3,宁    夏,0.3393,,,,,,,,,
2005,3,新    疆,0.0503,,,,,,,,,
2005,4,北京市,0.0065,,,,,,,,,
2005,4,河北省,0.3730,,,,,,,,,
2005,4,山西省,0.0180,,,,,,,,,
2005,4,内蒙古,0.0253,,,,,,,,,
2005,4,辽宁省,0.0071,,,,,,,,,
2005,4,吉林省,0.0258,,,,,,,,,
2005,4,黑龙江,0.0079,,,,,,,,,
2005,4,上海市,0.0113,,,,,,,,,
2005,4,江苏省,0.0362,,,,,,,,,
2005,4,浙江省,0.9603,,,,,,,,,
2005,4,安徽省,0.1529,,,,,,,,,
2005,4,福建省,0.4639,,,,,,,,,
2005,4,江西省,0.5985,,,,,,,,,
2005,4,山东省,0.0011,,,,,,,,,
2005,4,河南省,0.1115,,,,,,,,,
2005,4,湖北省,0.1827,,,,,,,,,
2005,4,湖南省,0.1335,,,,,,,,,
2005,4,广东省,2.6747,,,,,,,,,
2005,4,广    西,2.8233,,,,,,,,,
2005,4,海南省,1.9984,,,,,,,,,
2005,4,重庆市,2.4376,,,,,,,,,
2005,4,四川省,1.7867,,,,,,,,,
2005,4,贵州省,1.5232,,,,,,,,,
2005,4,云南省,0.7452,,,,,,,,,
2005,4,西    藏,0.6567,,,,,,,,,
2005,4,陕西省,0.0918,,,,,,,,,
2005,4,甘肃省,0.4266,,,,,,,,,
2005,4,青海省,0.1859,,,,,,,,,
2005,4,宁    夏,0.2375,,,,,,,,,
2005,4,新    疆,0.0403,,,,,,,,,
2005,5,天津市,1.5362,,,,,,,,,
2005,5,河北省,0.3275,,,,,,,,,
2005,5,山西省,0.0120,,,,,,,,,
2005,5,辽宁省,0.0119,,,,,,,,,
2005,5,江苏省,0.0349,,,,,,,,,
2005,5,浙江省,0.0616,,,,,,,,,
2005,5,安徽省,0.1874,,,,,,,,,
2005,5,福建省,0.3187,,,,,,,,,
2005,5,江西省,0.5541,,,,,,,,,
2005,5,山东省,0.0011,,,,,,,,,
2005,5,河南省,0.1382,,,,,,,,,
2005,5,湖北省,0.2038,,,,,,,,,
2005,5,湖南省,0.0842,,,,,,,,,
2005,5,广东省,1.0964,,,,,,,,,
2005,5,广    西,1.0904,,,,,,,,,
2005,5,海南省,1.1820,,,,,,,,,
2005,5,重庆市,0.8388,,,,,,,,,
2005,5,四川省,0.7523,,,,,,,,,
2005,5,贵州省,0.4159,,,,,,,,,
2005,5,云南省,0.0815,,,,,,,,,
2005,5,西    藏,1.6052,,,,,,,,,
2005,5,陕西省,0.0378,,,,,,,,,
2005,5,甘肃省,0.1047,,,,,,,,,
2005,5,青海省,0.1673,,,,,,,,,
2005,5,宁    夏,0.1866,,,,,,,,,
2005,5,新    疆,0.0201,,,,,,,,,
2005,6,天津市,0.0096,,,,,,,,,
2005,6,河北省,0.2159,,,,,,,,,
2005,6,辽宁省,0.0047,,,,,,,,,
2005,6,黑龙江,0.0210,,,,,,,,,
2005,6,江苏省,0.0094,,,,,,,,,
2005,6,浙江省,0.0431,,,,,,,,,
2005,6,安徽省,0.2368,,,,,,,,,
2005,6,福建省,0.2476,,,,,,,,,
2005,6,江西省,0.2618,,,,,,,,,
2005,6,山东省,0.0044,,,,,,,,,
2005,6,河南省,0.0536,,,,,,,,,
2005,6,湖北省,0.5235,,,,,,,,,
2005,6,湖南省,0.0191,,,,,,,,,
2005,6,广东省,0.1917,,,,,,,,,
2005,6,广    西,0.4154,,,,,,,,,
2005,6,海南省,0.1584,,,,,,,,,
2005,6,重庆市,0.4947,,,,,,,,,
2005,6,四川省,0.6485,,,,,,,,,
2005,6,贵州省,0.1728,,,,,,,,,
2005,6,云南省,2.5347,,,,,,,,,
2005,6,西    藏,1.2039,,,,,,,,,
2005,6,陕西省,0.0324,,,,,,,,,
2005,6,甘肃省,0.0892,,,,,,,,,
2005,6,青海省,0.0744,,,,,,,,,
2005,6,宁    夏,0.2714,,,,,,,,,
2005,7,北京市,0.0065,,,,,,,,,
2005,7,河北省,0.1748,,,,,,,,,
2005,7,浙江省,0.1436,,,,,,,,,
2005,7,安徽省,0.0674,,,,,,,,,
2005,7,福建省,0.0569,,,,,,,,,
2005,7,江西省,0.1122,,,,,,,,,
2005,7,山东省,0.0011,,,,,,,,,
2005,7,河南省,0.0825,,,,,,,,,
2005,7,湖北省,0.2090,,,,,,,,,
2005,7,湖南省,0.0207,,,,,,,,,
2005,7,广东省,0.1271,,,,,,,,,
2005,7,广    西,0.1666,,,,,,,,,
2005,7,海南省,0.0609,,,,,,,,,
2005,7,重庆市,0.1362,,,,,,,,,
2005,7,四川省,0.3859,,,,,,,,,
2005,7,贵州省,0.1134,,,,,,,,,
2005,7,云南省,0.2265,,,,,,,,,
2005,7,西    藏,0.3283,,,,,,,,,
2005,7,陕西省,0.0216,,,,,,,,,
2005,7,甘肃省,0.0621,,,,,,,,,
2005,7,青海省,0.1673,,,,,,,,,
2005,7,宁    夏,0.2036,,,,,,,,,
2005,7,新    疆,0.0050,,,,,,,,,
2005,8,天津市,0.0480,,,,,,,,,
2005,8,河北省,0.3304,,,,,,,,,
2005,8,内蒙古,0.0042,,,,,,,,,
2005,8,辽宁省,0.0047,,,,,,,,,
2005,8,江苏省,0.0027,,,,,,,,,
2005,8,浙江省,0.2052,,,,,,,,,
2005,8,安徽省,0.1430,,,,,,,,,
2005,8,福建省,0.0085,,,,,,,,,
2005,8,江西省,0.0701,,,,,,,,,
2005,8,山东省,0.0228,,,,,,,,,
2005,8,河南省,0.3172,,,,,,,,,
2005,8,湖北省,0.2108,,,,,,,,,
2005,8,湖南省,0.0111,,,,,,,,,
2005,8,广东省,0.1084,,,,,,,,,
2005,8,广    西,0.0909,,,,,,,,,
2005,8,海南省,0.0366,,,,,,,,,
2005,8,重庆市,0.0466,,,,,,,,,
2005,8,四川省,0.1771,,,,,,,,,
2005,8,贵州省,0.1377,,,,,,,,,
2005,8,云南省,0.0566,,,,,,,,,
2005,8,西    藏,0.0365,,,,,,,,,
2005,8,陕西省,0.0189,,,,,,,,,
2005,8,甘肃省,0.0427,,,,,,,,,
2005,8,青海省,0.1487,,,,,,,,,
2005,8,宁    夏,0.1527,,,,,,,,,
2005,8,新    疆,0.0050,,,,,,,,,
2005,9,天津市,0.1440,,,,,,,,,
2005,9,河北省,0.4479,,,,,,,,,
2005,9,辽宁省,0.0024,,,,,,,,,
2005,9,吉林省,0.0037,,,,,,,,,
2005,9,黑龙江,0.0026,,,,,,,,,
2005,9,上海市,0.0281,,,,,,,,,
2005,9,浙江省,0.2257,,,,,,,,,
2005,9,安徽省,0.1019,,,,,,,,,
2005,9,福建省,0.0256,,,,,,,,,
2005,9,江西省,0.0959,,,,,,,,,
2005,9,山东省,0.0033,,,,,,,,,
2005,9,河南省,0.1533,,,,,,,,,
2005,9,湖北省,0.1458,,,,,,,,,
2005,9,湖南省,0.0334,,,,,,,,,
2005,9,广东省,0.2683,,,,,,,,,
2005,9,广    西,0.0974,,,,,,,,,
2005,9,海南省,0.6336,,,,,,,,,
2005,9,重庆市,0.0860,,,,,,,,,
2005,9,四川省,0.4165,,,,,,,,,
2005,9,贵州省,0.2917,,,,,,,,,
2005,9,云南省,1.8144,,,,,,,,,
2005,9,西    藏,0.1094,,,,,,,,,
2005,9,陕西省,0.0540,,,,,,,,,
2005,9,甘肃省,0.0892,,,,,,,,,
2005,9,青海省,0.1673,,,,,,,,,
2005,9,宁    夏,0.2544,,,,,,,,,
