x,y,b,g,r
0,32,230,186,126
1,32,209,224,218
2,32,220,226,218
3,32,208,209,201
4,32,169,171,160
5,32,186,195,191
6,32,235,249,251
7,32,244,250,253
8,32,241,249,252
9,32,243,249,254
10,32,232,247,248
11,32,195,233,208
12,32,153,190,136
13,32,102,135,73
14,32,89,142,64
15,32,93,136,62
16,32,81,87,38
17,32,110,151,93
18,32,91,124,64
19,32,100,153,84
20,32,128,215,148
21,32,97,190,110
22,32,106,182,104
23,32,104,169,95
24,32,78,117,47
25,32,72,97,37
26,32,88,137,64
27,32,108,180,105
28,32,93,171,109
29,32,109,223,170
30,32,102,199,130
31,32,92,145,84
0,31,223,171,101
1,31,212,227,224
2,31,207,216,214
3,31,174,176,167
4,31,183,194,189
5,31,233,249,254
6,31,238,250,254
7,31,240,249,252
8,31,243,251,253
9,31,243,250,254
10,31,227,244,247
11,31,181,219,198
12,31,101,136,65
13,31,85,142,65
14,31,78,135,54
15,31,70,95,19
16,31,61,84,18
17,31,109,192,115
18,31,136,235,177
19,31,102,187,114
20,31,91,190,110
21,31,78,164,86
22,31,65,86,29
23,31,50,51,9
24,31,49,57,11
25,31,46,45,7
26,31,66,92,33
27,31,82,156,70
28,31,76,183,99
29,31,82,188,118
30,31,93,191,124
31,31,76,153,84
0,30,215,177,121
1,30,216,223,221
2,30,178,179,170
3,30,200,210,208
4,30,216,239,245
5,30,226,245,250
6,30,239,249,254
7,30,244,250,255
8,30,245,252,255
9,30,243,251,255
10,30,214,236,246
11,30,201,224,218
12,30,183,199,171
13,30,117,154,97
14,30,70,80,30
15,30,75,109,43
16,30,82,144,55
17,30,97,167,72
18,30,122,194,120
19,30,127,202,126
20,30,89,146,66
21,30,64,96,35
22,30,185,185,170
23,30,129,121,102
24,30,32,29,1
25,30,53,61,20
26,30,54,83,28
27,30,82,166,89
28,30,81,177,95
29,30,54,98,34
30,30,51,85,29
31,30,68,118,55
0,29,217,217,212
1,29,163,162,151
2,29,191,193,185
3,29,215,232,235
4,29,217,238,243
5,29,226,243,252
6,29,234,247,251
7,29,196,239,220
8,29,224,246,237
9,29,213,241,229
10,29,199,239,227
11,29,155,230,181
12,29,178,234,209
13,29,173,198,167
14,29,164,163,110
15,29,182,176,107
16,29,215,209,135
17,29,230,211,141
18,29,235,213,144
19,29,235,216,147
20,29,229,208,140
21,29,181,161,106
22,29,219,214,204
23,29,159,157,138
24,29,45,47,11
25,29,55,92,36
26,29,72,138,62
27,29,87,164,83
28,29,83,146,68
29,29,59,102,37
30,29,38,57,12
31,29,55,62,27
0,28,181,183,176
1,28,166,171,165
2,28,238,246,250
3,28,198,217,219
4,28,221,238,246
5,28,197,235,221
6,28,163,221,177
7,28,99,186,106
8,28,122,164,110
9,28,170,207,175
10,28,110,181,97
11,28,93,184,103
12,28,173,199,134
13,28,241,219,151
14,28,255,233,162
15,28,255,236,167
16,28,255,233,165
17,28,255,232,164
18,28,255,232,163
19,28,255,231,163
20,28,255,240,171
21,28,199,168,105
22,28,131,118,91
23,28,174,166,147
24,28,165,138,78
25,28,131,126,68
26,28,54,64,17
27,28,34,40,2
28,28,48,67,18
29,28,50,79,22
30,28,42,63,14
31,28,57,83,34
0,27,174,177,171
1,27,223,236,246
2,27,217,245,238
3,27,162,207,188
4,27,208,237,237
5,27,137,204,141
6,27,84,173,70
7,27,72,117,37
8,27,110,126,78
9,27,133,201,133
10,27,75,127,40
11,27,187,169,98
12,27,255,229,157
13,27,255,230,156
14,27,254,227,155
15,27,253,226,153
16,27,255,227,155
17,27,254,227,154
18,27,254,227,155
19,27,254,227,154
20,27,255,227,152
21,27,236,216,161
22,27,217,214,205
23,27,217,215,208
24,27,229,219,193
25,27,253,226,158
26,27,170,148,85
27,27,49,40,6
28,27,30,39,3
29,27,34,41,4
30,27,52,93,30
31,27,80,151,75
0,26,205,226,228
1,26,204,241,233
2,26,127,202,133
3,26,93,182,90
4,26,114,155,96
5,26,112,143,79
6,26,82,138,53
7,26,83,129,48
8,26,85,134,56
9,26,86,158,71
10,26,197,200,127
11,26,255,227,156
12,26,255,226,150
13,26,254,225,149
14,26,253,224,149
15,26,244,213,135
16,26,254,225,149
17,26,254,225,149
18,26,255,225,149
19,26,250,219,141
20,26,250,219,140
21,26,246,221,154
22,26,226,216,197
23,26,247,248,252
24,26,222,215,192
25,26,249,219,147
26,26,255,235,151
27,26,205,175,105
28,26,62,75,28
29,26,34,70,17
30,26,46,82,22
31,26,61,94,43
0,25,148,203,156
1,25,101,182,100
2,25,86,151,64
3,25,77,131,44
4,25,67,96,25
5,25,69,80,21
6,25,66,62,14
7,25,66,106,40
8,25,70,145,65
9,25,139,131,61
10,25,255,222,146
11,25,255,226,146
12,25,233,204,146
13,25,240,209,145
14,25,255,224,144
15,25,243,209,130
16,25,254,221,143
17,25,254,222,143
18,25,255,223,143
19,25,250,217,136
20,25,247,214,134
21,25,247,214,126
22,25,127,104,60
23,25,216,218,214
24,25,146,121,78
25,25,245,211,128
26,25,254,223,141
27,25,255,228,144
28,25,222,205,119
29,25,68,105,39
30,25,28,45,6
31,25,49,55,25
0,24,153,180,144
1,24,70,102,30
2,24,79,132,47
3,24,79,145,61
4,24,90,173,101
5,24,88,158,90
6,24,81,124,57
7,24,67,138,59
8,24,107,163,86
9,24,224,194,139
10,24,255,228,158
11,24,246,213,137
12,24,219,207,200
13,24,243,217,150
14,24,255,222,134
15,24,243,207,123
16,24,254,221,137
17,24,254,222,139
18,24,254,220,138
19,24,253,217,134
20,24,243,209,123
21,24,234,205,133
22,24,171,161,134
23,24,204,205,196
24,24,145,118,63
25,24,251,215,128
26,24,253,218,133
27,24,252,217,130
28,24,255,224,134
29,24,189,164,86
30,24,33,44,4
31,24,43,46,20
0,23,195,230,211
1,23,98,156,82
2,23,71,108,34
3,23,85,153,74
4,23,106,205,134
5,23,92,158,88
6,23,80,141,59
7,23,67,112,38
8,23,150,137,71
9,23,255,227,172
10,23,251,218,132
11,23,230,210,169
12,23,240,242,251
13,23,231,199,143
14,23,252,216,128
15,23,242,207,116
16,23,235,192,130
17,23,229,186,126
18,23,254,219,131
19,23,253,216,128
20,23,239,202,111
21,23,236,221,186
22,23,241,245,246
23,23,235,238,236
24,23,228,217,186
25,23,249,212,125
26,23,252,215,125
27,23,250,214,123
28,23,251,214,121
29,23,255,220,124
30,23,127,114,51
31,23,34,40,18
0,22,126,181,121
1,22,67,107,34
2,22,61,72,21
3,22,77,125,55
4,22,89,158,75
5,22,64,110,35
6,22,63,126,49
7,22,63,82,26
8,22,202,166,91
9,22,255,220,131
10,22,230,193,113
11,22,221,215,204
12,22,246,250,252
13,22,222,189,136
14,22,214,163,115
15,22,201,144,133
16,22,202,150,123
17,22,243,206,125
18,22,252,217,127
19,22,250,213,123
20,22,242,203,110
21,22,239,207,126
22,22,218,207,200
23,22,226,220,215
24,22,232,213,165
25,22,247,209,119
26,22,250,212,118
27,22,249,211,118
28,22,247,210,115
29,22,252,213,116
30,22,217,179,87
31,22,123,135,106
0,21,132,170,120
1,21,146,174,145
2,21,82,122,59
3,21,70,113,42
4,21,69,108,40
5,21,68,129,51
6,21,68,125,57
7,21,116,134,68
8,21,239,200,126
9,21,245,207,127
10,21,226,205,157
11,21,241,243,246
12,21,237,242,245
13,21,227,199,160
14,21,214,160,119
15,21,220,170,118
16,21,219,171,113
17,21,224,178,114
18,21,250,214,120
19,21,248,211,120
20,21,226,182,115
21,21,233,190,116
22,21,195,167,167
23,21,195,161,159
24,21,216,164,114
25,21,253,215,114
26,21,246,205,110
27,21,239,199,104
28,21,248,207,111
29,21,245,205,105
30,21,252,206,102
31,21,187,185,127
0,20,117,182,122
1,20,122,191,133
2,20,79,129,59
3,20,52,67,12
4,20,52,59,15
5,20,55,63,20
6,20,40,38,5
7,20,135,118,71
8,20,254,226,168
9,20,232,200,141
10,20,235,229,217
11,20,255,255,255
12,20,250,254,255
13,20,227,207,183
14,20,242,200,110
15,20,239,201,106
16,20,253,213,120
17,20,245,208,116
18,20,251,215,117
19,20,234,189,119
20,20,202,141,118
