x,y,b,g,r
21,20,195,142,108
22,20,192,146,108
23,20,197,145,112
24,20,228,183,117
25,20,251,213,113
26,20,245,205,108
27,20,232,191,95
28,20,247,204,107
29,20,245,203,102
30,20,249,206,108
31,20,200,176,94
0,19,107,183,114
1,19,71,149,72
2,19,51,77,20
3,19,53,59,12
4,19,45,45,6
5,19,50,53,14
6,19,63,60,28
7,19,185,171,133
8,19,253,232,190
9,19,225,206,173
10,19,162,158,152
11,19,208,207,204
12,19,255,255,255
13,19,242,236,216
14,19,242,205,111
15,19,236,196,104
16,19,251,213,119
17,19,250,213,118
18,19,254,217,118
19,19,212,153,119
20,19,214,153,89
21,19,206,162,97
22,19,154,103,81
23,19,187,134,103
24,19,211,161,113
25,19,215,158,121
26,19,245,203,105
27,19,232,189,93
28,19,243,202,102
29,19,242,200,98
30,19,242,204,117
31,19,238,210,149
0,18,92,156,82
1,18,87,173,97
2,18,62,106,41
3,18,46,53,5
4,18,53,61,15
5,18,48,66,19
6,18,100,125,82
7,18,217,207,179
8,18,246,227,201
9,18,228,222,206
10,18,144,121,89
11,18,156,142,122
12,18,248,248,250
13,18,247,248,246
14,18,235,201,124
15,18,241,200,107
16,18,249,213,118
17,18,249,211,117
18,18,254,216,118
19,18,216,162,102
20,18,157,90,71
21,18,177,129,78
22,18,147,91,89
23,18,219,175,107
24,18,235,190,111
25,18,207,146,115
26,18,244,202,101
27,18,228,186,90
28,18,240,199,99
29,18,240,197,95
30,18,239,197,105
31,18,242,211,144
0,17,70,101,40
1,17,54,88,26
2,17,61,127,56
3,17,76,176,101
4,17,75,165,97
5,17,73,173,97
6,17,63,141,60
7,17,203,198,166
8,17,242,224,201
9,17,225,217,199
10,17,200,176,111
11,17,227,222,212
12,17,230,232,233
13,17,253,255,255
14,17,226,204,153
15,17,240,197,101
16,17,250,212,119
17,17,249,211,117
18,17,255,216,116
19,17,203,148,105
20,17,186,116,70
21,17,199,148,99
22,17,154,95,100
23,17,185,130,101
24,17,187,131,107
25,17,229,185,105
26,17,245,203,100
27,17,229,185,87
28,17,240,197,97
29,17,236,192,92
30,17,232,187,86
31,17,238,193,103
0,16,64,71,33
1,16,37,34,0
2,16,59,129,55
3,16,96,226,142
4,16,84,204,123
5,16,78,179,102
6,16,155,189,157
7,16,232,231,224
8,16,241,236,227
9,16,226,225,216
10,16,239,240,230
11,16,241,243,246
12,16,242,246,249
13,16,248,253,255
14,16,230,216,188
15,16,233,193,103
16,16,252,215,129
17,16,245,206,117
18,16,244,201,104
19,16,191,114,55
20,16,166,95,73
21,16,189,133,106
22,16,180,122,112
23,16,206,153,104
24,16,198,143,106
25,16,245,204,98
26,16,240,197,96
27,16,225,181,82
28,16,240,196,92
29,16,230,188,85
30,16,221,168,71
31,16,209,143,65
0,15,74,107,56
1,15,54,97,45
2,15,67,149,69
3,15,62,156,63
4,15,60,151,62
5,15,81,162,86
6,15,235,237,240
7,15,255,255,255
8,15,249,253,255
9,15,249,253,255
10,15,247,251,255
11,15,245,249,255
12,15,241,246,255
13,15,240,245,255
14,15,227,209,177
15,15,237,205,136
16,15,254,221,153
17,15,237,201,122
18,15,213,163,79
19,15,177,99,33
20,15,181,102,38
21,15,215,159,110
22,15,178,115,128
23,15,186,130,105
24,15,237,193,97
25,15,244,203,97
26,15,232,186,87
27,15,223,175,79
28,15,242,196,90
29,15,224,177,80
30,15,187,107,37
31,15,183,112,45
0,14,76,150,71
1,14,84,193,104
2,14,81,178,90
3,14,48,90,23
4,14,37,69,12
5,14,81,137,75
6,14,238,244,244
7,14,252,254,255
8,14,249,252,255
9,14,249,252,255
10,14,247,251,255
11,14,244,249,254
12,14,240,246,255
13,14,234,237,247
14,14,223,207,176
15,14,243,223,176
16,14,250,224,174
17,14,223,198,144
18,14,202,187,168
19,14,209,209,213
20,14,206,153,95
21,14,211,151,95
22,14,213,165,106
23,14,205,154,98
24,14,244,202,95
25,14,245,201,97
26,14,211,155,66
27,14,223,171,75
28,14,241,194,89
29,14,190,120,45
30,14,160,68,16
31,14,171,108,46
0,13,74,133,68
1,13,58,136,55
2,13,52,136,47
3,13,59,148,60
4,13,42,126,38
5,13,89,158,92
6,13,248,249,253
7,13,251,253,255
8,13,249,252,255
9,13,249,252,255
10,13,248,252,255
11,13,247,251,255
12,13,248,252,255
13,13,232,230,226
14,13,228,213,183
15,13,253,235,207
16,13,239,219,184
17,13,206,199,180
18,13,179,182,221
19,13,221,232,255
20,13,217,178,134
21,13,206,143,90
22,13,228,178,104
23,13,203,149,97
24,13,233,189,94
25,13,239,188,88
26,13,187,117,40
27,13,234,182,79
28,13,200,131,52
29,13,162,73,17
30,13,134,62,15
31,13,155,107,46
0,12,62,104,49
1,12,40,82,20
2,12,51,110,32
3,12,59,128,52
4,12,45,128,41
5,12,101,160,101
6,12,254,254,255
7,12,251,254,255
8,12,249,252,255
9,12,249,252,255
10,12,249,252,255
11,12,247,251,255
12,12,246,251,254
13,12,223,215,199
14,12,242,225,200
15,12,248,230,205
16,12,220,206,183
17,12,199,197,207
18,12,176,180,214
19,12,221,231,255
20,12,193,141,90
21,12,207,146,93
22,12,216,155,82
23,12,206,148,89
24,12,226,178,94
25,12,211,143,57
26,12,183,106,36
27,12,201,127,47
28,12,158,71,16
29,12,169,76,20
30,12,88,53,11
31,12,139,100,43
0,11,85,174,90
1,11,49,100,28
2,11,42,65,15
3,11,36,44,8
4,11,34,57,10
5,11,80,99,62
6,11,241,242,244
7,11,243,247,248
8,11,248,252,255
9,11,249,252,255
10,11,249,252,255
11,11,248,252,255
12,11,244,248,250
13,11,231,226,215
14,11,248,239,228
15,11,227,219,199
16,11,227,227,228
17,11,216,218,228
18,11,212,212,226
19,11,175,138,125
20,11,190,112,34
21,11,208,150,101
22,11,190,114,52
23,11,216,163,88
24,11,204,139,81
25,11,172,91,24
26,11,168,83,22
27,11,161,75,17
28,11,162,72,16
29,11,132,65,17
30,11,62,42,7
31,11,105,89,41
0,10,62,102,44
1,10,39,73,15
2,10,38,58,12
3,10,31,33,4
4,10,34,40,7
5,10,48,56,24
6,10,217,218,216
7,10,250,251,251
8,10,248,251,255
9,10,249,252,255
10,10,248,252,255
11,10,247,251,255
12,10,247,251,255
13,10,248,255,255
14,10,250,255,255
15,10,212,214,231
16,10,184,186,220
17,10,191,196,231
18,10,166,125,112
19,10,166,70,2
20,10,203,122,35
21,10,178,112,75
22,10,186,112,56
23,10,224,169,83
24,10,155,81,54
25,10,160,72,14
26,10,167,77,19
27,10,152,71,16
28,10,163,76,20
29,10,55,35,7
30,10,65,47,12
31,10,77,105,60
0,9,53,75,32
1,9,42,75,21
2,9,42,60,16
3,9,38,39,8
4,9,39,55,15
5,9,30,51,7
6,9,173,177,167
7,9,255,255,255
8,9,253,255,255
9,9,253,255,255
10,9,251,255,255
11,9,250,254,255
12,9,250,254,255
13,9,243,249,254
14,9,212,216,241
15,9,173,175,216
16,9,177,182,230
17,9,178,186,237
18,9,166,152,174
19,9,167,79,17
20,9,180,90,18
21,9,155,74,43
22,9,189,113,64
23,9,189,107,36
24,9,136,66,48
25,9,164,75,18
26,9,153,70,16
27,9,166,73,18
28,9,97,61,15
29,9,32,34,5
30,9,51,49,12
31,9,48,70,35
0,8,87,113,67
1,8,35,49,8
2,8,39,45,10
3,8,40,47,13
4,8,40,54,16
5,8,33,44,5
6,8,95,104,75
7,8,192,196,186
8,8,210,218,217
9,8,217,222,230
10,8,222,226,238
11,8,226,230,252
12,8,214,217,247
13,8,195,199,239
14,8,181,188,236
15,8,182,189,238
16,8,181,189,236
17,8,181,190,239
18,8,172,145,152
19,8,160,80,25
20,8,169,79,16
21,8,173,82,38
22,8,159,78,45
23,8,160,72,13
24,8,142,70,53
25,8,153,69,20
26,8,161,71,15
27,8,104,64,15
28,8,31,41,7
29,8,39,43,7
30,8,27,41,3
31,8,36,43,19
0,7,64,92,42
1,7,55,72,28
2,7,65,103,46
3,7,57,106,42
4,7,82,115,64
5,7,49,70,27
6,7,35,47,5
7,7,47,66,33
8,7,85,120,93
9,7,73,98,72
10,7,139,166,156
11,7,113,131,131
12,7,178,183,230
13,7,182,189,237
14,7,180,189,235
15,7,179,186,235
16,7,175,181,228
17,7,178,183,230
18,7,159,136,142
19,7,148,100,73
20,7,168,73,10
21,7,164,78,25
22,7,139,66,42
23,7,151,65,9
24,7,135,64,46
25,7,140,70,32
26,7,100,85,32
27,7,47,63,20
28,7,41,42,9
29,7,26,43,7
30,7,40,60,23
31,7,39,48,25
0,6,49,92,36
1,6,78,139,72
2,6,62,124,50
3,6,38,68,12
4,6,52,85,30
5,6,52,80,39
6,6,45,56,19
7,6,82,108,78
8,6,94,131,105
9,6,83,117,84
10,6,109,144,112
11,6,45,66,33
12,6,148,152,187
13,6,184,191,243
14,6,176,183,231
15,6,179,182,208
16,6,202,204,214
17,6,176,178,198
18,6,202,197,201
19,6,200,166,146
20,6,140,101,59
21,6,71,73,27
22,6,108,71,51
23,6,120,87,47
24,6,102,73,58
25,6,94,75,53
26,6,77,105,54
27,6,45,62,19
28,6,24,40,5
29,6,52,75,39
30,6,57,85,45
31,6,49,64,35
0,5,54,92,39
1,5,39,82,21
2,5,35,61,12
3,5,30,42,7
4,5,28,36,5
5,5,29,40,11
6,5,34,45,15
7,5,50,66,31
8,5,59,84,46
9,5,74,105,66
10,5,65,89,53
11,5,37,53,20
12,5,117,123,127
13,5,189,192,221
14,5,174,175,201
15,5,231,235,230
16,5,255,255,254
17,5,233,234,226
18,5,212,190,171
19,5,201,170,149
20,5,193,171,150
21,5,154,151,123
22,5,122,117,109
23,5,78,99,74
24,5,92,95,82
25,5,84,80,67
26,5,66,135,77
27,5,45,81,36
28,5,27,38,6
29,5,54,75,39
30,5,39,60,24
31,5,60,77,45
0,4,59,101,39
1,4,32,50,7
2,4,26,33,2
3,4,22,26,0
4,4,25,30,0
5,4,49,68,34
6,4,46,69,37
7,4,79,99,63
8,4,63,84,48
9,4,43,60,23
10,4,47,64,31
11,4,161,166,151
12,4,216,218,212
13,4,239,241,239
14,4,215,218,215
15,4,248,253,253
16,4,242,243,240
17,4,211,194,178
18,4,201,172,151
19,4,208,181,161
20,4,209,180,159
21,4,214,182,159
22,4,169,137,120
23,4,81,83,63
24,4,93,101,84
25,4,72,62,50
26,4,48,90,37
27,4,41,73,35
28,4,32,46,11
29,4,56,78,41
30,4,43,65,28
31,4,68,92,57
0,3,107,140,103
1,3,75,114,60
2,3,52,71,31
3,3,48,68,26
4,3,56,79,37
5,3,133,173,153
6,3,72,111,87
7,3,41,58,19
8,3,41,56,22
9,3,26,38,7
10,3,75,85,57
11,3,221,222,214
12,3,253,254,253
13,3,246,249,248
14,3,249,250,249
15,3,240,240,238
16,3,205,186,170
17,3,206,175,154
18,3,208,180,158
19,3,204,175,152
20,3,203,173,151
21,3,201,171,147
22,3,203,168,141
23,3,124,113,88
24,3,63,82,53
25,3,45,60,28
26,3,50,91,43
27,3,37,62,25
28,3,36,51,14
29,3,47,68,33
30,3,42,64,28
31,3,65,89,56
0,2,104,124,96
1,2,71,95,56
2,2,68,87,52
3,2,50,68,32
4,2,97,125,99
5,2,173,211,210
6,2,102,153,133
7,2,32,50,12
8,2,29,44,6
9,2,110,118,99
10,2,224,221,218
11,2,198,199,186
12,2,242,245,245
13,2,236,237,235
14,2,217,213,202
15,2,220,212,197
16,2,200,169,145
17,2,206,175,153
18,2,195,172,151
19,2,195,175,157
20,2,187,160,133
21,2,193,161,133
22,2,202,167,137
23,2,139,126,92
24,2,46,64,31
25,2,46,75,37
26,2,55,95,49
27,2,32,48,13
28,2,29,41,8
29,2,46,62,27
30,2,42,60,26
31,2,58,74,43
0,1,56,67,39
1,1,40,55,26
2,1,44,59,27
3,1,43,59,25
4,1,97,124,102
5,1,176,217,220
6,1,101,161,148
7,1,33,57,19
8,1,62,76,40
9,1,236,238,237
10,1,233,234,227
11,1,182,181,164
12,1,239,240,237
13,1,237,238,235
14,1,230,228,223
15,1,209,210,196
16,1,196,177,152
17,1,189,174,158
18,1,212,217,220
19,1,221,228,235
20,1,178,175,169
21,1,168,139,110
22,1,199,165,131
23,1,121,110,75
24,1,46,63,27
25,1,56,103,57
26,1,59,106,53
27,1,26,39,10
28,1,23,34,3
29,1,45,60,26
30,1,44,59,27
31,1,53,67,38
